"Title","Year","Gross"
"A River Runs Through It",  1992,  43440000
"Across the Tracks",  1991,  
"Babel",  2006,  34302837
"Burn After Reading",  2008,  60355347
"Cogan's Trade",  2012,  
"Cool World",  1992,  14110000
"Cutting Class",  1989,  
"Darkside of the Sun",  1997,  
"Fight Club",  1999,  37023000
"Happy Feet Two",  2011,  
"Happy Together",  1989,  100000
"Inglourious Basterds",  2009,  120831050
"Interview with the Vampire",  1994,  105264000
"Johnny Suede",  1992,  55000
"Kalifornia",  1993,  2395000
"Legends of the Fall",  1994,  66528000
"Meet Joe Black",  1998,  44606000
"Megamind",  2010,  145660740
"Moneyball",  2011,  
"Mr. and Mrs. Smith",  2005,  186336103
"Ocean's Eleven",  2001,  183405771
"Ocean's Thirteen",  2007,  117144465
"Ocean's Twelve",  2004,  125531634
"Seven Years in Tibet",  1997,  37901000
"Seven",  1995,  100125000
"Sinbad: Legend of the Seven Seas",  2003,  26288320
"Sleepers",  1996,  53300000
"Snatch",  2000,  30093000
"Spy Game",  2001,  62326785
"The Assassination of Jesse James by the Coward Robert Ford",  2007,  3908643
"The Curious Case of Benjamin Button",  2008,  127509326
"The Devil's Own",  1997,  42877000
"The Favor",  1994,  3134000
"The Mexican",  2001,  66808615
"The Tree of Life",  2011,  
"Thelma & Louise",  1991,  45361000
"Troy",  2004,  133298577
"True Romance",  1993,  12281000
"Twelve Monkeys",  1995,  56882000
"World War Z",  2012,  
